City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
325,Kavieng,PG,81.59,-2.57,150.8,Nusa Island Retreat
326,Mar Del Plata,AR,60.8,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
328,Orange Walk,BZ,87.8,17.83,-88.83,
329,Abu Dhabi,AE,78.8,24.47,54.37,Beach Rotana
332,Kongolo,CD,70.16,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
333,Atar,MR,87.78,20.52,-13.05,Oumou Elghoura
334,Canon City,US,64.4,38.44,-105.24,Travel Inn Motel
336,Lazaro Cardenas,MX,87.03,17.96,-102.2,Collection O Hotel Quinta Antigua
337,Alyangula,AU,60.8,-13.85,136.42,Groote Eylandt Lodge
338,Male,MV,82.4,4.17,73.51,Hotel Octave Maldives
339,San Francisco Menendez,SV,87.8,13.84,-90.02,
340,Roswell,US,62.01,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
341,Pedra Branca,BR,89.33,-5.45,-39.72,Chácara Verçoza
342,Polewali,ID,76.78,-3.43,119.34,Lilianto Hotel
343,Maloy,NO,50.0,61.94,5.11,Torget Hotell
345,Leibnitz,AT,51.01,46.78,15.54,JUFA Hotel Leibnitz – Sport-Resort
346,Rabat,MA,64.99,33.99,-6.84,Hôtel Mercure Rabat Sheherazade
347,Keti Bandar,PK,79.2,24.14,67.45,Haji laloo memon house
349,Necochea,AR,62.51,-38.55,-58.74,dyd -mar Hotel
351,Kushima,JP,56.37,31.46,131.23,Hanaoka
352,Curuca,BR,84.79,-0.73,-47.85,Hotel Curuça
353,Nalbari,IN,70.16,26.45,91.44,Varsha Nagar
354,Horn,DE,55.99,51.87,8.95,Ringhotel Waldhotel Bärenstein
355,Miracatu,BR,66.13,-24.28,-47.46,Hotel Ubirajara
357,Khani,GE,53.6,41.96,42.96,კურორტი ზეკარი/Resort Zekari
359,Moroni,KM,77.32,-11.7,43.26,Hotel les Arcades
360,Millau,FR,55.0,44.08,2.92,Hôtel Les Raspes
361,Grand Gaube,MU,66.99,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
362,Abrau-Dyurso,RU,57.2,44.69,37.59,Avgustin Inn
363,Taoudenni,ML,80.82,22.68,-3.98,
365,Esperance,AU,57.2,-33.87,121.9,Hospitality Esperance
366,Sola,VU,81.37,-13.88,167.55,Ulkel Guest House
368,Knin,HR,60.8,44.04,16.2,Hotel Ivan
369,Vavuniya,LK,74.34,8.75,80.5,Thampa Hotel
370,Redlands,US,87.01,34.06,-117.18,Dynasty Suites Redlands
373,Uyuni,BO,59.0,-20.46,-66.83,Hostal La Magia de Uyuni
374,Kokopo,PG,77.74,-4.35,152.26,Kokopo Beach Bungalow Resort
375,Isangel,VU,76.91,-19.55,169.27,Volcano Sea View Tree House
376,Algiers,DZ,59.0,36.75,3.04,Sofitel Algiers Hamma Garden
377,Valdivia,CL,69.8,-39.81,-73.25,Hostal Entre Rios
378,Lorengau,PG,80.64,-2.02,147.27,Lorengau Harbourside Hotel
379,Ubud,ID,74.12,-8.51,115.27,Maya Ubud Resort & Spa
380,Novyy Svit,UA,53.62,47.81,38.02,Энергетик
381,Praya,CV,80.6,14.92,-23.51,LT Aparthotel
382,Bambanglipuro,ID,77.07,-7.95,110.28,Puri Brata
384,Cukai,MY,78.8,4.25,103.42,OYO 90038 Dalyla Inn Chalet
386,Marawi,PH,75.0,8.0,124.29,Derogongan Residence
387,Montalban,FR,57.2,44.02,1.35,Abbaye des Capucins Spa & Resort
389,Raga,SS,74.52,8.46,25.68,
390,Harnai,PK,59.83,30.1,67.94,Shah g hotel
391,Vitorino Freire,BR,89.82,-4.07,-45.17,
392,Durban,ZA,63.0,-29.86,31.03,Hilton Durban
393,Gidole,ET,57.63,5.65,37.37,Shallom mekaneyesus church
394,Lagoa,PT,68.88,39.05,-27.98,Casa Das Faias
395,Hobyo,SO,81.05,5.35,48.53,Osmani Hotel
396,Eyl,SO,81.19,7.98,49.82,Amiin Hotel
397,Chitungwiza,ZW,73.99,-18.01,31.08,Damview Hotel
398,Dubbo,AU,51.8,-32.25,148.62,Comfort Inn Blue Lagoon
399,Alassio,IT,60.8,44.0,8.17,Hotel Toscana
400,Coquimbo,CL,59.0,-29.95,-71.34,Hotel San Juan
401,Kismayo,SO,79.97,-0.36,42.55,Agan-Hotel
402,Hamilton,US,50.0,39.18,-84.53,Six Acres Bed & Breakfast
404,Jones,PH,72.07,16.56,121.7,Maidas Farm Resort
405,Port Lincoln,AU,55.87,-34.73,135.87,Port Lincoln Hotel
406,Ballina,AU,71.6,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
408,Kasongo-Lunda,CD,71.47,-6.47,16.82,
409,Raudeberg,NO,50.0,61.99,5.14,Nordre Silda.
411,Mahebourg,MU,69.8,-20.41,57.7,Shandrani Beachcomber Resort & Spa
412,Yanam,IN,73.08,16.73,82.22,The Regency Hotel
413,Kidal,ML,81.72,18.44,1.41,
414,Florianopolis,BR,71.6,-27.61,-48.5,Hotel Boutique Quinta das Videiras
419,Marilia,BR,71.82,-22.21,-49.95,Hotel Tenda
420,Bathsheba,BB,77.0,13.22,-59.52,Atlantis Hotel
423,Mirabad,AF,51.08,30.44,61.84,
424,Nuevo Progreso,MX,75.99,23.17,-97.95,Balneario Rio el Paraiso
425,Tucurui,BR,82.15,-3.77,-49.67,BBB Rooms Centro Tucurui PA
426,Rio Casca,BR,76.03,-20.23,-42.65,Hotel Morada do Sol
427,Tortoli,IT,62.6,39.93,9.66,Hotel La Bitta
428,Batemans Bay,AU,62.01,-35.72,150.18,Batemans Bay Marina Resort
429,Rockhampton,AU,69.8,-23.38,150.5,Mercure Rockhampton
430,Adrar,MR,87.28,20.5,-10.07,
432,Buenos Aires,AR,64.0,-34.61,-58.38,Gran Hotel Argentino
435,Kolda,SN,82.78,12.88,-14.95,Hôtel Hobbe Chasse
436,Itarema,BR,81.79,-2.92,-39.92,Windvillage
438,Dingle,PH,76.14,11.0,122.67,Camp Pasica
439,Tual,ID,83.44,-5.67,132.75,Grand Vilia Hotel
440,Katobu,ID,75.85,-4.94,122.53,La Ode Husein
441,Praia Da Vitoria,PT,71.6,38.73,-27.07,Hotel Branco I
443,Praia,CV,80.6,14.92,-23.51,LT Aparthotel
444,Bac Lieu,VN,78.44,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
445,Progreso,MX,77.0,21.28,-89.67,Playa Linda Hotel
446,Karratha,AU,72.86,-20.74,116.85,ibis Styles Karratha
448,Reinosa,ES,55.99,43.0,-4.14,Hotel Vejo
449,Alta Floresta,BR,85.55,-9.88,-56.09,Floresta Amazonica Hotel
451,Kisangani,CD,69.66,0.52,25.2,Grand Ramela Hotel
452,Huilong,CN,60.01,31.81,121.66,Hilton Garden Inn Qidong
453,Lilongwe,MW,72.5,-13.97,33.79,Spendwise furnished apartments.
454,Kulachi,PK,65.39,31.93,70.46,SHAH JAHAN MAHSUD
455,Quatre Cocos,MU,69.8,-20.21,57.76,Emeraude Beach Attitude Hotel
457,Alofi,NU,73.4,-19.06,-169.92,Taloa Heights
459,Mayo,US,52.0,38.89,-76.51,Resorts Resource Group International
461,Pitsunda,GE,62.6,43.16,40.34,Hotel FREEDOM
464,Gouyave,GD,87.8,12.16,-61.73,Rumboat Retreat
466,Midland,US,68.0,32.0,-102.08,DoubleTree by Hilton Hotel Midland Plaza
469,Jacareacanga,BR,84.88,-6.22,-57.75,Casa do Ian😎
470,Gigant,RU,59.13,46.51,41.34,
472,Padang,ID,77.94,-0.95,100.35,Mercure Padang
473,Chokwe,MZ,75.51,-24.53,32.98,Complexo Sonho Real
475,Kieta,PG,78.3,-6.22,155.63,
476,San Felipe,VE,83.97,10.34,-68.74,Posada Llovizna Rodríguez
477,Mzimba,MW,63.79,-11.9,33.6,Zagegs Hotel
478,Acapulco,MX,87.8,16.86,-99.89,HS Hotsson Smart Acapulco
479,Contamana,PE,77.2,-7.33,-75.02,Shiringal Touristic Park
480,Merauke,ID,77.83,-8.47,140.33,
481,West Bay,KY,88.0,19.37,-81.42,Calypso Cove
483,Nioki,CD,72.25,-2.72,17.68,
484,Amudat,UG,72.48,1.95,34.95,Silent Night Hotel
485,Beloha,MG,70.02,-25.17,45.05,
486,Valparaiso,CL,59.0,-33.04,-71.63,Hotel Ultramar
487,Makakilo City,US,82.4,21.35,-158.09,Marriott's Ko Olina Beach Club
489,Gobo,JP,51.8,33.88,135.15,Kotobuki Inn
490,Sajanan,TN,66.2,37.06,9.24,Centre de culture du tabac sejenene
491,Lubango,AO,62.91,-14.92,13.49,Hotel Serra da Chela
492,Oussouye,SN,86.0,12.48,-16.55,Auberge du Routard
493,Punta Alta,AR,73.58,-38.88,-62.07,Center Hotel Punta Alta
494,Ormara,PK,77.45,25.21,64.64,
495,Huarmey,PE,67.48,-10.07,-78.15,Hotel Miramar
496,Waipawa,NZ,64.4,-41.41,175.52,Tora Coastal Walk
499,Mae Sot,TH,72.05,16.72,98.57,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
502,Acarau,BR,82.29,-2.89,-40.12,castelo pizzaria
505,Orthez,FR,55.99,43.49,-0.77,Kyriad Orthez
506,Samarai,PG,79.97,-10.62,150.67,Nuli Sapi
508,Eydhafushi,MV,82.38,5.1,73.07,Soneva Fushi
509,Imamoglu,TR,73.99,37.27,35.66,İSAK TATAR
510,Chandbali,IN,74.95,20.78,86.77,KABITA HOMES
511,Siyabuswa,ZA,75.83,-25.11,29.04,Uluju properties
512,Road Town,VG,86.0,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
513,Jahanabad,IN,69.8,25.22,84.98,TENI BIGHA
514,Cabedelo,BR,82.4,-6.98,-34.83,Lua Mansa Pousada
515,San Andres,CO,77.0,12.58,-81.7,Hotel Arena Blanca
516,Araouane,ML,88.07,18.9,-3.53,
519,Ekangala,ZA,77.0,-25.7,28.75,Josiah's
520,Emborion,GR,51.8,40.48,21.55,Villa Kastanodasos
522,Nsanje,MW,80.17,-16.92,35.26,Nsanje Discovery Lodge
524,Aitape,PG,77.47,-3.14,142.35,
525,Le Moule,GP,86.0,16.33,-61.35,Lakaz Hananou
526,Namatanai,PG,80.1,-3.67,152.43,Namatanai Hotel
527,Itoman,JP,71.6,26.12,127.67,Southern Beach Hotel & Resort Okinawa
528,Buraydah,SA,69.8,26.33,43.98,Mövenpick Hotel Qassim
532,Sayula,MX,86.0,19.87,-103.62,Gran Casa Sayula Hotel Galeria And Spa
533,Dong Hoi,VN,75.47,17.48,106.6,Nam Long Hotel
534,Banamba,ML,80.11,13.55,-7.45,Kassela de Banamba
535,Youghal,IE,52.0,51.95,-7.85,Quality Hotel and Leisure Centre Youghal
536,Port Macquarie,AU,66.2,-31.43,152.92,Rydges Port Macquarie
538,Lokossa,BJ,76.66,6.64,1.72,Hotel Manel
540,Hammerum,DK,53.6,56.13,9.06,Østergaards Hotel
543,Hwange,ZW,76.48,-18.37,26.5,Hwange Colliery Guest House
544,Ano Mera,GR,66.99,37.45,25.4,Hotel La Résidence Mykonos
546,Coahuayana,MX,86.0,18.73,-103.68,Hotel Los Arcos
547,Amargosa,BR,76.96,-13.03,-39.6,Hotel Amargosa
548,Puerto Del Rosario,ES,77.0,28.5,-13.86,Hotel JM Puerto del Rosario
549,Birao,CF,78.94,10.28,22.79,
550,Sayyan,YE,52.93,15.17,44.32,الاستاذة مروى اليوسفي
551,Launceston,AU,53.01,-41.45,147.17,Hotel Grand Chancellor Launceston
553,Tskaltubo,GE,53.6,42.33,42.6,Guest House On Mirian Mepe
554,Peachtree City,US,66.2,33.4,-84.6,Hilton Garden Inn Atlanta/Peachtree City
555,Cotonou,BJ,82.4,6.37,2.42,Novotel Cotonou Orisha
556,Port Hedland,AU,73.4,-20.32,118.57,The Esplanade Hotel
557,Asfi,MA,70.07,32.3,-9.24,Hôtel Abda
559,Sorong,ID,79.54,-0.88,131.25,The Waigo Hotel
562,Nanchong,CN,59.92,30.8,106.08,Marine Una Century Hotel
563,Mairi,BR,82.56,-11.71,-40.15,Pousada de Dona Roxa
566,Izumo,JP,50.0,35.37,132.77,Toyoko-Inn Izumoshi ekimae
567,Nadapuram,IN,77.0,11.7,75.67,Fabina Garden
569,Juba,SS,74.19,4.85,31.58,ROYAL PALACE HOTEL - JUBA
571,Tazmalt,DZ,64.33,36.39,4.4,Hôtel Numédia
572,Liberal,US,66.2,37.04,-100.92,Hampton Inn & Suites Liberal
573,Banon,ES,59.0,40.84,-1.19,Iglu
574,Flinders,AU,64.0,-34.58,150.86,Shellharbour Resort & Conference Centre
575,Montes Altos,BR,89.6,-5.83,-47.07,Montes Altos
576,Tateyama,JP,53.01,34.98,139.87,Tateyama Seaside Hotel
577,Rocha,UY,56.46,-34.48,-54.33,Beleza Pura B&B
579,Pulandian,CN,57.2,39.4,121.97,HR East Hotel
580,Constitucion,CL,66.79,-35.33,-72.42,Hotel Boutique Las Azucenas
582,Axim,GH,78.69,4.87,-2.24,AXIM BEACH RESORT AND SPA
583,Portobelo,PA,86.0,9.55,-79.65,Scuba Portobelo
585,Bilma,NE,76.14,18.69,12.92,Expeditions Ténére voyages
