City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
268,General Zuazua,MX,69.8,25.9,-100.12,Casa de Héctor
269,Daru,PG,78.39,-9.08,143.21,New century hotel
270,Namikupa,TZ,70.32,-10.83,39.6,
271,Fougeres,FR,59.0,48.35,-1.2,Best Western Hotel des Voyageurs
274,Victoria,HK,75.0,22.29,114.16,Mini Hotel Central
275,Marsa Matruh,EG,73.4,31.35,27.25,Beau Site
276,Benalla,AU,55.4,-36.55,145.98,Rose City Motor Inn
277,Lompoc,US,71.01,34.64,-120.46,Holiday Inn Express Lompoc
278,Abha,SA,62.6,18.22,42.51,Abha Hotel
280,Naze,JP,71.6,28.37,129.48,奄美ポートタワーホテル
282,Kindu,CD,69.67,-2.95,25.95,Hotel Karibu
284,San Cristobal,VE,89.6,7.77,-72.22,Pirineos
285,Tevaitoa,PF,79.95,-16.78,-151.5,Hôtel Raiatea Lodge
286,Muros,ES,62.01,42.78,-9.06,Apartment Av. Castelao
289,Coruripe,BR,78.71,-10.13,-36.18,Pousada e Hotel Litoral Sul
290,Luanda,AO,78.8,-8.84,13.23,EPIC SANA Luanda
291,Bangkalan,ID,79.75,-7.05,112.74,SPOT ON 2591 Griya Demangan Syariah
292,Boyolangu,ID,75.02,-8.12,111.89,Yos ega cv
295,Gladstone,AU,75.2,-23.85,151.25,Highpoint International
296,Mahanje,TZ,66.54,-9.93,35.33,
299,Saldanha,ZA,57.2,-33.01,17.94,Blue Bay Lodge
302,Hualmay,PE,67.5,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
305,Plouzane,FR,57.2,48.38,-4.62,Résidence Nemea Iroise Armorique
307,Kembe,CF,69.48,4.62,21.89,
308,Charleston,US,73.99,32.78,-79.93,French Quarter Inn
309,Kruisfontein,ZA,51.01,-34.0,24.73,Oyster Bay House Rental
310,Yendi,GH,83.52,9.44,-0.01,Eyarro Lodge
311,Escuinapa,MX,87.8,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
312,San Joaquin,US,73.99,37.93,-121.3,University Plaza Waterfront Hotel
316,Bridlington,GB,51.8,54.08,-0.19,Expanse Bridlington Seafront Hotel
317,Ancud,CL,63.0,-41.87,-73.82,Hotel Arena Gruesa
320,Guayaramerin,BO,85.57,-10.84,-65.36,Hostal FÜNF
321,Illescas,ES,60.01,40.12,-3.85,Hotel Carlos I
322,Mount Gambier,AU,51.8,-37.83,140.77,Commodore on the Park
323,Los Llanos De Aridane,ES,73.4,28.66,-17.92,Valle Aridane
324,Awbari,LY,64.74,26.59,12.78,فندق أوباري
